,DiaChi,GiaBan,DuAn,DienTich,TinhTrangBDS,Gia/m2,PhongNgu,PhongVeSinh,SoTang,TinhTrangGiayTo,TinhTrangNoiThat,HuongBanCong,HuongCua,DacDiem,Quan
14,"Lương Định Của, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",5.284,De Capella,95.0,Chưa bàn giao,55.62,3.0,2.0,6.0,,Nội thất cao cấp,Tây Nam,Đông Bắc,Căn góc, Thành phố Thủ Đức
15,"Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, Tp Hồ Chí Minh",4.05,Eco Green Sài Gòn,71.0,Đã bàn giao,57.04,2.0,2.0,,,,,,, Quận 7
16,"Võ Chí Công, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",3.25,Safira Khang Điền (Sapphire Khang Điền),101.0,Đã bàn giao,32.18,3.0,2.0,,,,,,, Thành phố Thủ Đức
17,"Tạ Quang Bửu, Phường 3, Quận 8, Tp Hồ Chí Minh",2.9,Saigon Skyview,69.0,Đã bàn giao,42.03,2.0,,,,,,,, Quận 8
18,"Số 102, Bình Thọ, Phường Bình Thọ (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",2.9,Moonlight Residences,64.0,Đã bàn giao,45.31,2.0,,,,,,,, Thành phố Thủ Đức
19,"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",1.79,Saigon Riverside Complex Q7,54.0,Đã bàn giao,33.15,1.0,1.0,,,,,,, Quận 7
20,"370, Nguyễn Văn Quỳ, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",2.2,LuxGarden,61.0,Đã bàn giao,36.07,2.0,2.0,,Đã có sổ,Hoàn thiện cơ bản,,,, Quận 7
21,"số 88, số 88 Số 88 đường N1, phường Sơn Kỳ, quận Tân Phú, Tp.HCM, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh",5.5,Celadon City,119.6,Chưa bàn giao,45.99,3.0,,11.0,,Hoàn thiện cơ bản,,,, Quận Tân Phú
22,"96, 96 đường Trần Đại Nghĩa, Phường Tân Tạo A, Quận Bình Tân, Tp Hồ Chí Minh",1.6,Vision Bình Tân,61.0,Đã bàn giao,26.23,2.0,2.0,,Đang chờ sổ,,,,Căn góc, Quận Bình Tân
23,"Số TA15, Đường Lê Văn Khương, Phường Thới An, Quận 12, TP Hồ Chí Minh, Phường Thới An, Quận 12, Tp Hồ Chí Minh",1.1,Võ Đình Apartment,84.0,Chưa bàn giao,13.1,2.0,2.0,,Đã có sổ,Hoàn thiện cơ bản,,,, Quận 12
24,"Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",2.95,Vinhomes Grand Park,81.5,Đã bàn giao,36.2,3.0,2.0,,Giấy tờ khác,Hoàn thiện cơ bản,Đông Bắc,Tây,Căn góc, Thành phố Thủ Đức
25,"Đường Nguyễn Lương Bằng, Phường Phú Mỹ, Quận 7, Hồ Chí Minh, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh",2.992,Q7 Boulevard,73.0,Đã bàn giao,40.99,3.0,2.0,,Đang chờ sổ,Hoàn thiện cơ bản,,,, Quận 7
26,"18, Phan Văn Trị, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh",4.2,Khu dân cư Cityland Park Hills,75.59,Đã bàn giao,55.56,2.0,2.0,,Đã có sổ,Nội thất đầy đủ,,,, Quận Gò Vấp
27,"Số 243, Tân Hòa Đông, Phường 14, Quận 6, Tp Hồ Chí Minh",1.355,Summer Square,60.0,Đã bàn giao,22.58,2.0,,,,,,,, Quận 6
28,"195, 195 Đường Cao Lỗ, Phường 4, Quận 8, Hồ Chí Minh, Phường 4, Quận 8, Tp Hồ Chí Minh",2.15,Topaz City,74.0,Đã bàn giao,29.05,2.0,2.0,,Đang chờ sổ,,Tây Bắc,Đông Nam,Căn góc, Quận 8
29,"Số 383, Bình Trưng Tây, Phường Bình Trưng Tây (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",2.85,La Astoria,89.0,Đã bàn giao,32.02,3.0,3.0,,,,,,, Thành phố Thủ Đức
30,"Lô 5, Bình Hưng Hòa B, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",2.0,Green Town Bình Tân,68.0,Đã bàn giao,29.41,2.0,2.0,11.0,Giấy tờ khác,Nội thất đầy đủ,Đông,Tây,, Quận Bình Tân
31,"Số 59, Ngô Tất Tố, Phường 21, Quận Bình Thạnh, Tp Hồ Chí Minh",2.2,City Garden,102.0,Đã bàn giao,21.57,3.0,3.0,16.0,Đã có sổ,Nội thất cao cấp,,,, Quận Bình Thạnh
32,"Số 1177, Số 1177 đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",1.15,D-Vela,35.0,Đã bàn giao,32.86,1.0,1.0,,Giấy tờ khác,Hoàn thiện cơ bản,,,, Quận 7
33,"Đường Nguyễn Văn Tăng, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",1.35,Vinhomes Grand Park,47.0,Đã bàn giao,28.72,2.0,1.0,,Đã có sổ,Hoàn thiện cơ bản,,,, Thành phố Thủ Đức
34,"262/13, Lũy Bán Bích, Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",2.25,Khu căn hộ IDICO Tân Phú,67.0,Đã bàn giao,33.58,2.0,2.0,,,Nội thất đầy đủ,,,, Quận Tân Phú
35,"số 88, số 88 Số 88 đường N1, phường Sơn Kỳ, quận Tân Phú, Tp.HCM, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh",3.15,Celadon City,63.0,Đã bàn giao,50.0,2.0,1.0,,,,,,, Quận Tân Phú
36,"370, Nguyễn Văn Quỳ, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",2.42,LuxGarden,69.0,Đã bàn giao,35.07,2.0,2.0,,Đã có sổ,Nội thất cao cấp,,,, Quận 7
37,"Lương Định Của, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",6.816087,De Capella,87.0,Đã bàn giao,78.35,2.0,2.0,6.0,,Nội thất cao cấp,Tây Bắc,Đông Nam,, Thành phố Thủ Đức
38,"Nguyễn Thị Định, Phường Cát Lái (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",12.8,Phố Đông Village,132.0,Đã bàn giao,96.97,5.0,5.0,,Đã có sổ,Nội thất đầy đủ,,,, Thành phố Thủ Đức
39,"196, 196 Đường Cao Lỗ, Phường 4, Quận 8, Tp Hồ Chí Minh",2.749,Topaz Elite,85.0,Đã bàn giao,32.34,3.0,2.0,,Đang chờ sổ,Hoàn thiện cơ bản,,,Căn góc, Quận 8
40,"D7, Phường Phú Hữu (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",2.0,Ricca,65.0,Đã bàn giao,30.77,2.0,2.0,,,,,,, Thành phố Thủ Đức
41,"Phan Chu Trinh, Phường Hiệp Phú (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",2.37,Centum Wealth Complex,54.0,Đã bàn giao,43.89,2.0,,,,,,,, Thành phố Thủ Đức
42,"Số 8, Gò Dưa, Phường Hiệp Bình Phước (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",1.85,Sunview Town,58.0,Đã bàn giao,31.9,2.0,2.0,,Đã có sổ,Nội thất cao cấp,,,, Thành phố Thủ Đức
43,"Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",4.5,Sunrise City,99.0,Đã bàn giao,45.45,2.0,2.0,,Đã có sổ,Nội thất đầy đủ,,,, Quận 7
44,"Hồng Lạc, Phường 10, Quận Tân Bình, Tp Hồ Chí Minh",1.9,Bàu Cát 2,54.0,Đã bàn giao,35.19,2.0,2.0,2.0,,,,,, Quận Tân Bình
45,"Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",5.7,Sunrise City,130.0,Đã bàn giao,43.85,3.0,2.0,,Đã có sổ,,Bắc,,Căn góc, Quận 7
46,"Đường Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh",2.75,The Pegasuite,68.0,Đã bàn giao,40.44,2.0,,,,,,,, Quận 8
47,"47, 47 33 Đường Lương Minh Nguyệt, Phường Tân Thới Hòa, Tân Phú, Hồ Chí Minh, Phường Tân Thới Hòa, Quận Tân Phú, Tp Hồ Chí Minh",1.4,Carillon 7,58.0,Chưa bàn giao,24.14,2.0,2.0,,Đã có sổ,Nội thất đầy đủ,,,, Quận Tân Phú
48,"Đường Tân Chánh Hiệp 21, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh",1.95,Hưng Ngân Garden,68.0,Đã bàn giao,28.68,2.0,,12.0,Đã có sổ,Nội thất cao cấp,Nam,Bắc,, Quận 12
49,"Đường Nguyễn Văn Linh, Phường 7, Quận 8, TP. Hồ Chí Minh, Phường 7, Quận 8, Tp Hồ Chí Minh",1.63,Dream Home Riverside,62.0,Đã bàn giao,26.29,2.0,2.0,19.0,Đang chờ sổ,Nội thất cao cấp,Tây Bắc,Đông Nam,Căn góc, Quận 8
50,"số 88, số 88 Số 88 đường N1, phường Sơn Kỳ, quận Tân Phú, Tp.HCM, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh",3.59,Celadon City,71.0,Đã bàn giao,50.56,2.0,2.0,,,,,,, Quận Tân Phú
51,"68 Phạm Văn Nghị, Phường Tân Phong, Quận 7, Hồ Chí Minh, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh",2.54,Sky Garden 3,57.0,Đã bàn giao,44.56,2.0,1.0,16.0,,,Nam,Bắc,, Quận 7
52,"Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh",1.68,The Pegasuite,1.0,Đã bàn giao,1680.0,2.0,2.0,,Đã có sổ,Nội thất đầy đủ,,,, Quận 8
53,"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",3.8,Saigon Riverside Complex Q7,86.0,Đã bàn giao,44.19,3.0,,,,,,,, Quận 7
54,"Số TA15, Đường Lê Văn Khương, Phường Thới An, Quận 12, TP Hồ Chí Minh, Phường Thới An, Quận 12, Tp Hồ Chí Minh",2.4,Võ Đình Apartment,84.0,Chưa bàn giao,28.57,2.0,2.0,,Đã có sổ,Hoàn thiện cơ bản,Đông,Tây,, Quận 12
55,"Tôn Thất Thuyết, Phường 1, Quận 4, Tp Hồ Chí Minh",2.21,Chung cư Tôn Thất Thuyết,50.5,Đã bàn giao,43.76,1.0,,10.0,Đã có sổ,Nội thất đầy đủ,,,Căn góc, Quận 4
56,"Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh",2.85,New Saigon-Hoàng Anh Gia Lai 3,99.0,Đã bàn giao,28.79,3.0,2.0,,Đã có sổ,Nội thất đầy đủ,Đông Bắc,Đông Nam,, Huyện Nhà Bè
57,"Số 19, Cộng Hòa, Phường 12, Quận Tân Bình, Tp Hồ Chí Minh",3.68,Cộng Hòa Plaza,73.0,Đã bàn giao,50.41,2.0,2.0,,Đã có sổ,Nội thất đầy đủ,Đông,Tây,, Quận Tân Bình
58,"số 88, N1, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh",2.55,Celadon City,63.0,Đã bàn giao,40.48,2.0,2.0,,,,Đông Nam,,, Quận Tân Phú
59,"Đường Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",3.95,Akari City,100.0,Đã bàn giao,39.5,3.0,2.0,13.0,Đang chờ sổ,Hoàn thiện cơ bản,Nam,Bắc,, Quận Bình Tân
60,"Phú Mỹ Hưng, Nguyễn Văn Linh, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh",2.42,Hưng Vượng 1,95.0,Đã bàn giao,25.47,2.0,2.0,,,,,,, Quận 7
61,"Số 1, Tôn Thất Thuyết, Phường 18, Quận 4, Tp Hồ Chí Minh",5.76,Căn hộ DE LA SOL (Delasol),60.0,Chưa bàn giao,96.0,2.0,2.0,,Đang chờ sổ,Nội thất đầy đủ,,,, Quận 4
62,"996, Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh",1.9,The Pegasuite 2,52.0,Chưa bàn giao,36.54,2.0,,,,,,,, Quận 8
63,"Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",5.7,Sunrise City,130.0,Đã bàn giao,43.85,2.0,2.0,,Đã có sổ,Nội thất cao cấp,,,Căn góc, Quận 7
64,"Xa Lộ Hà Nội, Phường Hiệp Phú (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",1.89,Saigon Gateway,57.0,Đã bàn giao,33.16,2.0,1.0,,,,,,, Thành phố Thủ Đức
65,"Nguyễn Văn Linh, Xã An Phú Tây, Huyện Bình Chánh, Tp Hồ Chí Minh",1.16,HQC Plaza,57.0,Đã bàn giao,20.35,2.0,2.0,22.0,Đang chờ sổ,Hoàn thiện cơ bản,Đông Nam,Tây Bắc,, Huyện Bình Chánh
66,"196, Cao Lỗ, Phường 4, Quận 8, Tp Hồ Chí Minh",2.415,Topaz Elite,73.0,Đã bàn giao,33.08,2.0,2.0,,,,,,, Quận 8
67,"Đường Phạm Văn Nghị, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh",3.4,Sky Garden 3,72.0,Đã bàn giao,47.22,3.0,2.0,12.0,Đã có sổ,Nội thất cao cấp,Nam,Bắc,, Quận 7
68,"196, 196 Đường Cao Lỗ, Phường 4, Quận 8, Tp Hồ Chí Minh",2.75,Topaz Elite,78.0,Đã bàn giao,35.26,2.0,2.0,,Đang chờ sổ,Hoàn thiện cơ bản,,,Căn góc, Quận 8
69,"Đường Trịnh Đình Thảo, Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",2.1,Topaz Garden,70.0,Đã bàn giao,30.0,2.0,2.0,,,,,,Căn góc, Quận Tân Phú
70,"654/6, Lạc Long Quân, Phường 9, Quận Tân Bình, Tp Hồ Chí Minh",1.83,The Era Lạc Long Quân (The Useful),65.0,Đã bàn giao,28.15,2.0,,,,,,,, Quận Tân Bình
71,"Nguyễn Xiển, Phường Long Thạnh Mỹ (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",2.65,Vinhomes Grand Park,69.0,Đã bàn giao,38.41,2.0,2.0,,,,Đông Bắc,Đông Bắc,, Thành phố Thủ Đức
72,"Số 9A, đường Thạnh Xuân 13, phường Thạnh Xuân, Quận 12, TP.HCM, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh",2.528,PiCity High Park,66.0,Đã bàn giao,38.3,2.0,2.0,,Đang chờ sổ,Hoàn thiện cơ bản,,Nam,, Quận 12
73,"39, Bến Vân Đồn, Phường 13, Quận 4, Tp Hồ Chí Minh",2.68,The Tresor,35.0,Đã bàn giao,76.57,1.0,1.0,,,Nội thất đầy đủ,,,, Quận 4
74,"Đường 30, Phường Linh Đông (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",1.8,4S Riverside Linh Đông,70.0,Đã bàn giao,25.71,2.0,2.0,,,,,,Căn góc, Thành phố Thủ Đức
75,"Bát Nàn, Phường Thạnh Mỹ Lợi (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",5.1,One Verandah Mapletree,81.0,Đã bàn giao,62.96,2.0,2.0,4.0,Đã có sổ,Hoàn thiện cơ bản,Tây Bắc,Đông Nam,, Thành phố Thủ Đức
76,"số 88, số 88 Số 88 đường N1, phường Sơn Kỳ, quận Tân Phú, Tp.HCM, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh",3.48,Celadon City,71.2,Chưa bàn giao,48.88,2.0,2.0,,,,,,, Quận Tân Phú
77,"Số 1, Tôn Thất Thuyết, Phường 18, Quận 4, Tp Hồ Chí Minh",6.048,Căn hộ DE LA SOL (Delasol),63.0,Chưa bàn giao,96.0,2.0,2.0,,,,,,, Quận 4
78,"Đường 15B, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh",1.5,The Era Town (A1 Riverside),67.0,Chưa bàn giao,22.39,2.0,2.0,,Đã có sổ,Nội thất cao cấp,Tây,Đông,Căn góc, Quận 7
79,"số 88, N1, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh",5.7,Celadon City,117.0,Chưa bàn giao,48.72,3.0,,,,,,,Căn góc, Quận Tân Phú
80,"Số 4, Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",3.2,Saigon Riverside Complex Q7,86.0,Đã bàn giao,37.21,3.0,2.0,,,,,,, Quận 7
81,"Đường Đại Lộ Đông Tây, Phường 16, Quận 8, Tp Hồ Chí Minh",1.88,Carina Plaza,86.0,Đã bàn giao,21.86,2.0,2.0,,Đã có sổ,Nội thất cao cấp,Đông Nam,Đông Bắc,Căn góc, Quận 8
82,"195, Cao Lỗ, Phường 4, Quận 8, Tp Hồ Chí Minh",2.1,Topaz City,73.0,Đã bàn giao,28.77,2.0,2.0,,,,,,, Quận 8
83,"523A, 523A Đường Đỗ Xuân Hợp, Phường Phước Long B (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",2.4,The Art,67.0,Đã bàn giao,35.82,2.0,2.0,,,,,,, Thành phố Thủ Đức
84,"Nguyễn Văn Linh, Phường 7, Quận 8, Tp Hồ Chí Minh",1.4,Conic Riverside,1.0,Đã bàn giao,1400.0,1.0,1.0,9.0,Đã có sổ,Nội thất đầy đủ,,,, Quận 8
85,"Mai Chí Thọ, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",2.0,The Sun Avenue,72.0,Đã bàn giao,27.78,2.0,2.0,18.0,Đã có sổ,Nội thất đầy đủ,,,, Thành phố Thủ Đức
86,"Đường Xa lộ Hà Nội, Phường Hiệp Phú (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",1.8,Saigon Gateway,71.0,Đã bàn giao,25.35,2.0,2.0,,,,,,, Thành phố Thủ Đức
87,"Số 132, Bến Vân Đồn, Phường 6, Quận 4, Tp Hồ Chí Minh",2.8,Masteri Millennium,30.0,Đã bàn giao,93.33,1.0,1.0,5.0,,Nội thất cao cấp,,,, Quận 4
88,"Đường Võ Văn Kiệt, Phường 16, Quận 8, Tp Hồ Chí Minh",2.55,Diamond Riverside (City Gate Towers 2),70.0,Đã bàn giao,36.43,2.0,,,,,Nam,,, Quận 8
89,"Nguyễn Xiển, Phường Long Bình (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",3.75,Lumiere Boulevard,54.0,Chưa bàn giao,69.44,2.0,1.0,24.0,Đã có sổ,Hoàn thiện cơ bản,,,, Thành phố Thủ Đức
90,"Đường Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",1.42,EHome 3,50.0,Chưa bàn giao,28.4,1.0,1.0,7.0,Đã có sổ,Nội thất đầy đủ,Đông Bắc,,, Quận Bình Tân
91,"113/89, An Dương Vương, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",1.75,Chung cư Lê Thành,70.0,Đã bàn giao,25.0,2.0,1.0,,Đã có sổ,,,,, Quận Bình Tân
92,"Cô Giang, Phường Cô Giang, Quận 1, Tp Hồ Chí Minh",7.5,Soho Residence,50.0,Đã bàn giao,150.0,2.0,1.0,,,,,,, Quận 1
93,"15B Nguyễn Lương Bằng nối dài, Phường Phú Mỹ,  Quận 7, Hồ Chí Minh, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh",3.8,The Peak Garden,71.0,Đã bàn giao,53.52,2.0,2.0,,,,Tây Bắc,Đông Nam,, Quận 7
94,"Số 1, Phường Trường Thọ (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",2.9,Lavita Charm,67.0,Đã bàn giao,43.28,2.0,2.0,,,,,,, Thành phố Thủ Đức
95,"Mai Chí Thọ, Phường An Phú (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",3.99,The Sun Avenue,73.0,Đã bàn giao,54.66,2.0,,15.0,Đang chờ sổ,Nội thất đầy đủ,,,, Thành phố Thủ Đức
96,"195, Cao Lỗ, Phường 4, Quận 8, Tp Hồ Chí Minh",2.197,Topaz City,74.0,Đã bàn giao,29.69,2.0,2.0,,,,,,, Quận 8
97,"Số 4, Số 4 Đường Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",1.95,Saigon Riverside Complex Q7,53.0,Đã bàn giao,36.79,1.0,1.0,,,,,,, Quận 7
98,"Đường Võ Văn Kiệt, Phường 16, Quận 8, Hồ Chí Minh, Phường 16, Quận 8, Tp Hồ Chí Minh",2.0,Diamond Riverside (City Gate Towers 2),73.0,Đã bàn giao,27.4,2.0,2.0,,,,,,, Quận 8
99,"Số 243, Số 243 Số 243 Đường Tân Hòa Đông, Phường 14, Quận 6, Thành phố Hồ Chí Minh, Phường 14, Quận 6, Tp Hồ Chí Minh",1.655,Summer Square,70.0,Đã bàn giao,23.64,2.0,,,,,,,, Quận 6
100,"Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh",2.7,Hoàng Anh Gold House (Hoàng Anh An Tiến),121.0,Chưa bàn giao,22.31,3.0,2.0,,Đã có sổ,Hoàn thiện cơ bản,Tây Bắc,Đông Nam,, Huyện Nhà Bè
101,"128, Hồng Hà, Phường 9, Quận Phú Nhuận, Tp Hồ Chí Minh",1.9,Orchard Garden,36.0,Đã bàn giao,52.78,1.0,,5.0,,,,,, Quận Phú Nhuận
102,"Nguyễn Văn Linh, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh",3.8,Lavida Plus,97.0,Đã bàn giao,39.18,3.0,2.0,19.0,Đang chờ sổ,Bàn giao thô,Đông Nam,,, Quận 7
103,"Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh",4.2,The Manor - TP.Hồ Chí Minh,72.0,Đã bàn giao,58.33,2.0,,,,,Nam,Tây,Căn góc, Quận Bình Thạnh
104,"Phan Xích Long, Phường 7, Quận Phú Nhuận, Tp Hồ Chí Minh",2.5,Chung cư Phan Xích Long,43.0,Đã bàn giao,58.14,2.0,1.0,,Đã có sổ,,,Đông,, Quận Phú Nhuận
105,"Vườn Lài, Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh",1.62,Chung cư Nhà ở Xã hội An Phú Đông,60.4,Đã bàn giao,26.82,2.0,2.0,,Đã có sổ,,,,, Quận 12
106,"262/13, Lũy Bán Bích, Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",1.77,Khu căn hộ IDICO Tân Phú,62.0,Chưa bàn giao,28.55,2.0,2.0,12.0,Đang chờ sổ,Hoàn thiện cơ bản,,,, Quận Tân Phú
107,"Dương Quảng Hàm, Phường 15, Quận Gò Vấp, Tp Hồ Chí Minh",1.67,Osimi Tower,70.0,Đã bàn giao,23.86,2.0,2.0,,Đã có sổ,,,,, Quận Gò Vấp
108,"Nguyễn Thị Thập, Phường Bình Thuận, Quận 7, Tp Hồ Chí Minh",2.13,The Golden Star,84.0,Đã bàn giao,25.36,3.0,3.0,9.0,Đã có sổ,Nội thất đầy đủ,,,, Quận 7
109,"Nguyễn Lương Bằng, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh",2.7088,Viva Plaza,59.0,Chưa bàn giao,45.91,2.0,,,,,,,, Quận 7
